folder,image,class_id,class_name,confidence,x,y,width,height,area,inference_time_ms
20240525,n0_164413_235568.png,4,A011M413,0.5409762263298035,794,52,112,273,30576,45.48072814941406
20240529,15_n0_1452_172985.png,3,A011B0084,0.5320286154747009,791,54,116,274,31784,19.86861228942871
20240529,n0_132918_330377.png,3,A011B0084,0.34935107827186584,795,44,114,285,32490,19.66691017150879
20240529,n1_132921_010590.png,4,A011M413,0.808593213558197,812,45,98,277,27146,20.358562469482422
20240529,n3_132926_729598.png,4,A011M413,0.47601133584976196,806,43,99,282,27918,21.691322326660156
