frame,true_x,true_y,true_z,est_x,est_y,est_z,vel_x,vel_y,vel_z,speed,error_m
1,1.01,0.5032384426905034,2.00761514928204,1.0134906576458227,0.5088054177495295,2.018322737435149,0.004069568679582069,0.0019070375337179792,0.005735748454190494,0.007286768263269606,0.012562975211499721
2,1.02,0.49882923312638333,1.998829315215254,1.0296155683517123,0.4863516499746835,1.9910363676902076,0.054428220083299436,-0.06897200467308919,-0.0807390218267811,0.11932459183088015,0.017574961370147076
3,1.03,0.507896064077537,2.0038371736457647,1.0349412847288586,0.511398587302188,2.007822354601959,0.06705372967045421,0.022548372349977724,-0.016047721683594834,0.07254075495599499,0.007250215925369641
4,1.04,0.49765262807032523,2.00271280021793,1.0761280628661105,0.5038727861862677,2.01367511637753,0.20427787257903698,-0.005328365671067467,0.006559614212118401,0.2044526087990899,0.03826355536313873
5,1.05,0.4976829115359377,1.9976713512321487,1.0608393225676984,0.504169268917655,1.9955913940633092,0.12910473543921988,-0.003407157114663624,-0.058971196756508505,0.14197620744099979,0.012801951711914115
6,1.06,0.5012098113578302,1.990433598776711,1.0674576874658572,0.49406128235998614,1.9883686750130185,0.14001066655850522,-0.04099576210953258,-0.08036099974813045,0.16655788645878447,0.01053482222542374
7,1.07,0.49137541083743486,1.997188562353795,1.0655459829160874,0.4922213053108015,2.018361397174326,0.11650838255443219,-0.04417929202160383,0.04642915270478881,0.13297247561004746,0.02165277672681598
8,1.08,0.4949358443983279,2.0015712366629765,1.061763941618102,0.5012033768056743,1.9872994377409423,0.08625527157629609,-0.0025512308391694924,-0.0841408546425063,0.12052453722568984,0.02398999858808065
9,1.09,0.49545987962239396,1.9929384814933235,1.0841391407521077,0.5060608705401293,1.9930759424473363,0.16937195526058724,0.01929962698987789,-0.05041294183462917,0.1777661372004367,0.012114023901057407
10,1.1,0.5073282438446077,1.9988711184975674,1.089257985495698,0.5005416442933049,2.0048689786764715,0.17105021783766006,-0.006165207284526686,0.008120506045481077,0.17135381356015056,0.014050734351131328
11,1.11,0.5003376410234396,1.9928762590689326,1.1022733796984143,0.5023830750464169,1.9939854296084059,0.20824143833706368,0.0035058729035122253,-0.04062318869047532,0.21219573804599995,0.008069369300810682
12,1.12,0.4972780863773741,2.0005546129485494,1.1132474552069993,0.5177978813285771,2.0060835773373196,0.23273474746066086,0.07589012523708877,0.021616939242922198,0.24574797221200176,0.02229861639728318
13,1.13,0.4942450321128885,2.0018784900917286,1.1103734044590903,0.49744439562011256,1.9958973806997202,0.18857257611720446,-0.028674788758409453,-0.027706602171901486,0.1927420965376539,0.02076566514554689
14,1.1400000000000001,0.49699680655040596,1.9985415312510335,1.1467263343229184,0.4894896566205744,1.9972571859711814,0.3386184343143398,-0.0640372250589504,-0.01671419678466051,0.3450254695307317,0.010161221200747285
15,1.15,0.496991466938853,2.0092613909225445,1.1552306749960757,0.5046054634730082,1.9972271947502949,0.33677249678352744,0.017884343453612186,-0.013610217533200505,0.3375215583512834,0.01517085302970428
16,1.16,0.4999325138763103,1.9947114453552206,1.1572138285350484,0.49574439248845187,1.988659040802823,0.3016903427767525,-0.027759610301819785,-0.05346714379254636,0.3076465412680535,0.007869861057060022
17,1.17,0.5041127245605159,1.9938957817501448,1.186502452928331,0.50740156670167,1.9816035899682634,0.4069819653126117,0.03454185146737031,-0.08164345398105116,0.41652504506988025,0.02083855595005969
18,1.18,0.5010443179750238,1.9902016493806012,1.1898315691911892,0.521464765172859,1.9992544198774094,0.36882253326547415,0.10247558915217088,0.01858961071550183,0.38324519702535115,0.024405062388541385
19,1.19,0.49335906975550786,2.0009843061793458,1.1764053543020274,0.49063639189627967,2.0128554754290326,0.24853870604841682,-0.0659748186560685,0.08741685151938065,0.27159873164373194,0.018252452595014353
20,1.2,0.5036923328999771,2.00085684140595,1.1924420607270536,0.5069666093422448,2.009032084142725,0.29168211047270387,0.02520112253101975,0.0592645521296799,0.29870694214524984,0.011605081907471802
21,1.21,0.4994217585880588,1.9984944815220536,1.200816391730077,0.4993288084625192,1.9685908806039856,0.2904204299947355,-0.01664944333957839,-0.1539100994405152,0.32910416106703083,0.031282145841491006
22,1.22,0.49260739004816284,1.9964007789580265,1.2098042664959232,0.4905811397764132,1.9827373338348822,0.29210277608631197,-0.0595306705465235,-0.062436284092602115,0.304575478501374,0.01716823824634011
23,1.23,0.49769680614520106,2.0052856111310944,1.2447134503460282,0.4837058793588379,1.9996621241707575,0.4266302655141042,-0.0877689086154869,0.033208804678061116,0.436829016298522,0.021067872674275658
24,1.24,0.5017180914478423,1.9911847992231864,1.2423539945218325,0.5140530764301275,1.9782336687322333,0.35339515799495413,0.07900199291479902,-0.07952429337505565,0.37074730722635124,0.018039537846511335
25,1.25,0.501620419846974,1.9980745885979183,1.2611873480446043,0.5026310252937515,1.9874912105254254,0.3970661144699764,0.011580275108610469,-0.021346041766385403,0.3978080636826858,0.015433274800426871
26,1.26,0.4966153899984702,2.0030583814442044,1.265229147270483,0.49887606827696485,1.996429753549082,0.35905859718976174,-0.008764827085558377,0.028546182016765415,0.360298186114576,0.008740329240209036
27,1.27,0.5051549976124797,2.004656400595581,1.2711083665197378,0.5011332041920142,2.0052736942687432,0.3344210434842329,0.004149927845523885,0.07207388664472718,0.34212468686472075,0.004217149527572077
28,1.28,0.4958039123838868,1.998453938120744,1.286359019258519,0.5110270739501571,1.987406684471903,0.36046974216443173,0.05481714301684815,-0.027015746256971965,0.36561346355193564,0.019855064522303043
29,1.29,0.5016563171570179,2.0048777256356116,1.3105152851056254,0.48408836179437753,2.0022898270713045,0.4289304433816371,-0.08978442406675155,0.05354620704311851,0.44148585974328847,0.02713313836562149
30,1.3,0.49760412881077354,1.9990717051166809,1.3070775869918996,0.49920060484762807,1.9935512992477875,0.3472729691629656,-0.00159752666457183,0.0033467629301249524,0.34729276990000313,0.0091167896938269
31,1.31,0.49446832512996985,1.9940189668795967,1.3085906297792047,0.4901355104591098,1.9884703229404435,0.30007204194608245,-0.04759205587957473,-0.022404327457177867,0.304647645698017,0.007179627912001191
32,1.32,0.504062629111971,2.006781200142854,1.3278588848898887,0.5063986360264141,1.9990687781785383,0.3492525098051078,0.0417524224174228,0.035263086592283846,0.3535025681079343,0.011256129555602328
33,1.33,0.4996399493920983,2.00501766448946,1.339034278072945,0.5030506804541733,2.01229947277551,0.3510566247621497,0.02016609080216321,0.09966449346216892,0.3654865746709509,0.012094461484162156
34,1.34,0.5018081801252382,1.9967744012269744,1.3465860402600798,0.4941749477420969,1.992749024322309,0.3338400456096245,-0.027359746736494602,-0.011601911891020028,0.33516016492663364,0.010855681560687067
35,1.35,0.501806978027542,2.00769018283233,1.3574924723372128,0.5069345020567649,2.0064746416571415,0.3355859327276724,0.0414196951251423,0.06026323518032396,0.34346057547171355,0.00916003191821593
36,1.3599999999999999,0.49982086980445023,2.00782321827907,1.3616735475248454,0.5123170534433817,2.002347043408445,0.30253231526382,0.06442974145182705,0.03232088223872386,0.31100101734741337,0.013745685070940619
37,1.37,0.4869012744795513,2.004109512521876,1.3752252721138383,0.486849806014932,2.0020339660778927,0.3211392276881193,-0.07327411680746185,0.02696856630771663,0.33049478562108814,0.005622633787437818
38,1.38,0.5004352353411908,1.9985049632476706,1.3906452023254592,0.5070290048774118,2.0063890302909386,0.3470750445579154,0.03845481903402681,0.046021607057680075,0.35221846626488823,0.014797183596532973
39,1.3900000000000001,0.5004588038826775,1.9900621554269955,1.4030016754402246,0.5011893629703726,1.9976326162957732,0.35420130330339894,0.004277400554355736,-0.00428372888682025,0.35425303068640723,0.015062840323101206
40,1.4,0.49890164056081243,2.0017855628575587,1.398114878438965,0.502088668478302,2.000280622081371,0.27215408938935215,0.00841686723685704,0.00946103524589054,0.2724485331459032,0.003996958466955785
41,1.4100000000000001,0.5073894702237076,1.9974086489086318,1.4107115568137685,0.5125969066949165,1.9899984664203267,0.288872033801048,0.061176675942985474,-0.04446674337520991,0.298608320142262,0.009084850698326293
42,1.42,0.49595753198553405,1.9974912147820774,1.4395086325088706,0.4878768882165491,1.9855636742471907,0.3865157950344398,-0.0723096339395138,-0.06222370116362054,0.398114219738596,0.024251799300232663
43,1.43,0.5045770105885103,2.001643755548298,1.442356197804337,0.5105667200964461,2.006145947412119,0.3401690922320136,0.05187076517704321,0.05008591632701087,0.3477271726574161,0.014450673885601915
44,1.44,0.4973511989811648,2.002566337165567,1.4468025218430272,0.4982819455696515,1.9945880464891972,0.3071220935005314,-0.016878471127633646,-0.014703891464207294,0.3079367914490678,0.010525859335630952
45,1.45,0.5004853877467402,2.0048432249526646,1.4512088464606034,0.49399965996676226,2.013123510954611,0.27759359001500966,-0.036907541298165106,0.08161162228185362,0.29168617504704086,0.010587214500297874
46,1.46,0.49648973453061324,1.998361689267011,1.4586635193398305,0.48855082779740844,1.9966078659807893,0.26706604242449566,-0.06049390470208224,-0.01226398274056495,0.2741061633656711,0.008239436679338286
47,1.47,0.49803945923433923,1.9926824252593394,1.473663959762355,0.49198418925183457,1.9852870808619605,0.2963804727392271,-0.03585143285230405,-0.06893551085533756,0.3063964988631191,0.010236308634318455
48,1.48,0.5014806013853229,2.0013052763608994,1.4825166141357171,0.5029786430504773,1.9952736366957755,0.2909888650678288,0.024719766484894636,-0.010130590216792038,0.2922126200332069,0.0067050840851197125
49,1.49,0.5000255672832123,1.9988270643331243,1.4857825817136798,0.5024520171063067,1.9851000354496817,0.25771188852281157,0.01949589882061705,-0.06089080852424477,0.26552438328627004,0.014563845567453982
